date,equity
2026-01-05,500.0
2026-01-06,479.88876328025555
2026-01-07,470.1369669906254
2026-01-08,451.2016991387277
2026-01-09,443.0573630422432
2026-01-10,441.2933907557478
2026-01-12,441.2833907557478
2026-01-13,429.5911564225301
2026-01-14,425.093734852454
2026-01-15,418.4705863073641
2026-01-16,407.1981565336737
2026-01-17,392.81789493573854
2026-01-20,392.43674005312977
2026-01-21,387.587857538864
2026-01-22,384.8770842817909
2026-01-23,379.7278047765714
2026-01-24,365.7977742817661
2026-01-26,365.29722872771237
2026-01-27,355.02539371687203
2026-01-28,355.6614281445131
2026-01-29,350.90941281841555
2026-01-30,347.0326616297616
2026-01-31,333.1580000919479
2026-02-02,332.3720089863191
2026-02-03,318.0244383160299
2026-02-04,312.02789491384215
2026-02-05,312.94762088595735
2026-02-06,291.51365987282475
2026-02-07,296.7825396602386
2026-02-09,296.7825396602386
2026-02-10,295.11598029780953
2026-02-11,286.36399660864134
2026-02-12,282.43348037217845
2026-02-13,270.5427180564287
2026-02-14,268.777964173521
2026-02-17,268.820944273521
2026-02-18,264.16527033371324
2026-02-19,261.96541881196924
2026-02-20,256.46807212545394
2026-02-21,253.20153715136092
2026-02-23,253.09281660136094
2026-02-24,246.10156857121046
2026-02-25,244.14275990896334
