symbol,layer_name,entry_time,exit_time,entry_price,exit_price,qty,pnl,slippage,exit_reason,hold_minutes
SLV,L3_RSI_SCALP,2026-01-05 11:58:00+00:00,2026-01-05 12:01:00+00:00,67.88,67.99,1,0.0421,0.0679,SIGNAL,3.0
SLV,L4_VOL_SURGE,2026-01-05 12:00:00+00:00,2026-01-05 12:01:00+00:00,67.981,67.99,1,-0.059,0.068,SIGNAL,1.0
INTC,L4_VOL_SURGE,2026-01-05 12:00:00+00:00,2026-01-05 12:01:00+00:00,41.12,41.24,3,0.2365,0.1235,SIGNAL,1.0
XLE,L3_RSI_SCALP,2026-01-05 12:03:00+00:00,2026-01-05 12:05:00+00:00,47.55,47.51,2,-0.1751,0.0951,STOP,2.0
PFE,L3_RSI_SCALP,2026-01-05 12:05:00+00:00,2026-01-05 12:09:00+00:00,25.105,25.1,4,-0.1204,0.1004,SIGNAL,4.0
PFE,L3_RSI_SCALP,2026-01-05 12:12:00+00:00,2026-01-05 12:18:00+00:00,25.1,25.09,4,-0.1404,0.1004,SIGNAL,6.0
XLE,L3_RSI_SCALP,2026-01-05 12:21:00+00:00,2026-01-05 12:24:00+00:00,47.56,47.52,2,-0.1751,0.0951,SIGNAL,3.0
XLE,L4_VOL_SURGE,2026-01-05 12:26:00+00:00,2026-01-05 12:27:00+00:00,47.55,47.55,2,-0.0951,0.0951,SIGNAL,1.0
SLV,L1_VWAP_MR,2026-01-05 12:23:00+00:00,2026-01-05 12:33:00+00:00,68.0,68.0,1,-0.068,0.068,SIGNAL,10.0
SLV,L1_VWAP_MR,2026-01-05 12:35:00+00:00,2026-01-05 12:36:00+00:00,67.97,67.88,1,-0.1579,0.0679,STOP,1.0
PFE,L3_RSI_SCALP,2026-01-05 12:29:00+00:00,2026-01-05 12:38:00+00:00,25.1,25.1,4,-0.1004,0.1004,SIGNAL,9.0
SLV,L3_RSI_SCALP,2026-01-05 12:38:00+00:00,2026-01-05 12:40:00+00:00,67.98,67.85,1,-0.1979,0.0679,STOP,2.0
SLV,L1_VWAP_MR,2026-01-05 12:39:00+00:00,2026-01-05 12:40:00+00:00,67.98,67.85,1,-0.1979,0.0679,SIGNAL,1.0
SLV,L4_VOL_SURGE,2026-01-05 12:41:00+00:00,2026-01-05 12:42:00+00:00,67.86,67.71,1,-0.2178,0.0678,STOP,1.0
SLV,L1_VWAP_MR,2026-01-05 12:42:00+00:00,2026-01-05 12:44:00+00:00,67.71,67.63977629961292,1,-0.1379,0.0677,STOP,2.0
SLV,L4_VOL_SURGE,2026-01-05 12:44:00+00:00,2026-01-05 12:45:00+00:00,67.73,67.701,1,-0.0967,0.0677,SIGNAL,1.0
TLT,L4_VOL_SURGE,2026-01-05 12:54:00+00:00,2026-01-05 12:55:00+00:00,87.3,87.3,1,-0.0873,0.0873,SIGNAL,1.0
INTC,L4_VOL_SURGE,2026-01-05 13:00:00+00:00,2026-01-05 13:01:00+00:00,41.05,40.866905,3,-0.6722,0.1229,STOP,1.0
INTC,L4_VOL_SURGE,2026-01-05 13:02:00+00:00,2026-01-05 13:03:00+00:00,41.06,41.0401,3,-0.1829,0.1232,SIGNAL,1.0
PFE,L4_VOL_SURGE,2026-01-05 13:06:00+00:00,2026-01-05 13:07:00+00:00,25.14,25.13,4,-0.1405,0.1005,SIGNAL,1.0
TLT,L3_RSI_SCALP,2026-01-05 13:11:00+00:00,2026-01-05 13:12:00+00:00,87.16,87.133022,1,-0.1141,0.0871,STOP,1.0
TLT,L3_RSI_SCALP,2026-01-05 13:24:00+00:00,2026-01-05 13:25:00+00:00,87.08,87.056043,1,-0.111,0.0871,STOP,1.0
XLF,L4_VOL_SURGE,2026-01-05 13:26:00+00:00,2026-01-05 13:27:00+00:00,54.78,54.77,2,-0.1295,0.1095,SIGNAL,1.0
SLV,L1_VWAP_MR,2026-01-05 13:22:00+00:00,2026-01-05 13:30:00+00:00,67.98,68.1005,1,0.0525,0.068,SIGNAL,8.0
XLE,L1_VWAP_MR,2026-01-05 13:28:00+00:00,2026-01-05 13:30:00+00:00,47.3677,47.42,2,0.0098,0.0948,SIGNAL,2.0
TLT,L3_RSI_SCALP,2026-01-05 13:33:00+00:00,2026-01-05 13:36:00+00:00,87.0,87.02,1,-0.067,0.087,SIGNAL,3.0
XLE,L3_RSI_SCALP,2026-01-05 13:34:00+00:00,2026-01-05 13:37:00+00:00,47.42,47.376163,2,-0.1825,0.0948,STOP,3.0
XLE,L3_RSI_SCALP,2026-01-05 13:40:00+00:00,2026-01-05 13:44:00+00:00,47.39,47.41,2,-0.0548,0.0948,SIGNAL,4.0
XLE,L4_VOL_SURGE,2026-01-05 13:50:00+00:00,2026-01-05 13:51:00+00:00,47.4199,47.4,2,-0.1346,0.0948,SIGNAL,1.0
XLE,L4_VOL_SURGE,2026-01-05 14:00:00+00:00,2026-01-05 14:01:00+00:00,47.42,47.41,2,-0.1148,0.0948,SIGNAL,1.0
SLV,L2_ORB,2026-01-05 14:00:00+00:00,2026-01-05 14:03:00+00:00,68.75,69.05,1,0.2311,0.0689,SIGNAL,3.0
SLV,L4_VOL_SURGE,2026-01-05 14:02:00+00:00,2026-01-05 14:04:00+00:00,68.9698,69.0994,1,0.0606,0.069,SIGNAL,2.0
